Source,Target,Weight
talk,university,3
talk,challenge,2
talk,china,15
talk,face,3
talk,deal,2
talk,misconception,2
talk,people,6
talk,medium,3
talk,watch,3
talk,live,1
talk,ambassador,2
talk,ming,1
talk,relation,1
talk,coronavirus,11
talk,around,2
talk,take,2
talk,hit,2
talk,fear,1
talk,spread,1
talk,dan,1
talk,shop,1
talk,owner,1
talk,cop,1
talk,interview,2
talk,post,1
talk,embassy,1
talk,twitter,1
talk,page,1
talk,response,2
talk,country,2
talk,doctor,3
talk,suppose,1
talk,majority,1
talk,actually,1
talk,like,4
talk,fighter,1
talk,year,2
talk,old,4
talk,renowned,1
talk,respiratory,2
talk,scientist,1
talk,death,1
talk,sound,1
talk,early,1
talk,warning,1
talk,novel,12
talk,attack,1
talk,appropriate,1
talk,suffer,1
talk,author,1
talk,something,1
talk,right,2
talk,folk,1
talk,compare,1
talk,reaction,1
talk,outbreak,11
talk,fake,1
talk,news,1
talk,undermine,1
talk,fight,6
talk,king,1
talk,bin,2
talk,offer,1
talk,firm,1
talk,support,1
talk,great,1
talk,sympathy,1
talk,government,1
talk,phone,8
talk,president,4
talk,patient,5
talk,move,1
talk,another,1
talk,city,4
talk,leave,2
talk,east,1
talk,zhejiang,1
talk,province,1
talk,spring,1
talk,festival,1
talk,reporter,1
talk,dong,1
talk,nurse,2
talk,work,2
talk,risk,1
talk,hardship,1
talk,daily,1
talk,job,1
talk,one,3
talk,emergency,5
talk,hospital,5
talk,build,1
talk,complete,1
talk,put,1
talk,use,1
talk,construction,1
talk,site,1
talk,worker,1
talk,witness,1
talk,shockingly,1
talk,rapid,1
talk,progress,1
talk,exclusive,1
talk,expert,2
talk,turn,1
talk,point,2
talk,virus,2
talk,declare,1
talk,global,2
talk,health,4
talk,peter,1
talk,late,1
talk,heroic,1
talk,conquer,1
talk,difficulty,1
talk,professor,1
talk,make,1
talk,comment,1
talk,current,1
talk,family,1
talk,inside,1
talk,local,1
talk,opinion,1
talk,threat,2
talk,benefit,1
talk,many,1
talk,world,3
talk,extend,3
talk,help,1
talk,hand,1
talk,politician,1
talk,call,1
talk,jinping,2
talk,emir,1
talk,night,1
talk,express,1
talk,confidence,2
talk,full,1
talk,victory,1
talk,pneumonia,1
talk,epidemic,1
talk,student,1
talk,bande,1
talk,study,1
talk,life,2
talk,trump,3
talk,dedicate,1
talk,safeguard,2
talk,also,1
talk,ability,1
talk,win,1
talk,ready,1
talk,maintain,1
talk,communication,2
talk,australia,1
talk,jointly,1
talk,security,1
talk,say,4
talk,australian,1
talk,counterpart,3
talk,willing,1
talk,stay,1
talk,include,1
talk,order,1
talk,properly,1
talk,handle,1
talk,issue,1
talk,relate,1
talk,prevention,1
talk,control,1
talk,british,1
talk,enhance,1
talk,international,3
talk,community,1
talk,battle,1
talk,open,1
talk,transparent,1
talk,responsible,1
talk,manner,1
talk,south,1
talk,korean,1
talk,update,1
talk,whether,1
talk,public,1
talk,concern,1
talk,new,1
talk,share,1
talk,immediately,2
talk,action,1
talk,first,1
talk,batch,1
talk,recover,1
talk,covid,1
talk,discharge,1
talk,gymnasium,1
talk,convert,1
talk,makeshift,1
talk,director,1
talk,recently,1
talk,xinhua,1
talk,receive,1
talk,reconsider,1
talk,change,1
talk,travel,1
talk,plan,1
talk,might,1
talk,please,1
talk,federal,1
talk,reserve,1
talk,chair,1
talk,impact,1
talk,economy,2
talk,second,1
talk,day,1
talk,congressional,1
talk,testimony,1
talk,two,1
talk,quarter,1
talk,advisor,1
talk,advise,1
talk,patience,1
talk,market,1
talk,partner,1
talk,spokesman,1
university,challenge,2
university,china,12
university,face,2
university,deal,2
university,misconception,2
university,people,4
university,medium,2
university,watch,2
university,cherry,1
university,blossom,1
university,bloom,1
university,fall,1
university,beauty,1
university,world,1
university,tightly,1
university,connect,1
university,medical,11
university,personnel,2
university,hospital,8
university,adapt,1
university,lyric,1
university,song,1
university,staff,1
university,contribute,1
university,treatment,2
university,tell,2
university,influenza,1
university,infection,2
university,novel,6
university,coronavirus,18
university,director,2
university,lung,1
university,cancer,1
university,diagnosis,1
university,center,7
university,beijing,2
university,base,1
university,capital,1
university,answer,1
university,question,1
university,junior,1
university,student,13
university,infect,6
university,study,2
university,exam,1
university,makeshift,1
university,campus,2
university,life,3
university,amazing,2
university,stressful,2
university,simply,2
university,return,3
