Id,Label
covid,covid
case,case
coronavirus,coronavirus
say,say
new,new
china,china
report,report
test,test
president,president
health,health
pandemic,pandemic
country,country
trump,trump
vaccine,vaccine
watch,watch
positive,positive
world,world
million,million
death,death
people,people
accord,accord
day,day
number,number
year,year
infection,infection
city,city
global,global
first,first
house,house
national,national
see,see
state,state
white,white
late,late
hour,hour
high,high
take,take
one,one
confirm,confirm
total,total
record,record
since,since
announce,announce
amid,amid
week,week
official,official
minister,minister
due,due
fight,fight
second,second
may,may
africa,africa
time,time
daily,daily
register,register
rise,rise
top,top
recovery,recovery
economy,economy
past,past
center,center
find,find
sept,sept
government,government
restriction,restriction
expert,expert
public,public
development,development
ministry,ministry
face,face
toll,toll
united,united
trial,trial
authority,authority
medium,medium
last,last
control,control
could,could
local,local
across,across
virus,virus
surge,surge
hit,hit
qingdao,qingdao
wave,wave
follow,follow
disease,disease
spread,spread
make,make
organization,organization
general,general
two,two
nation,nation
university,university
hospital,hospital
continue,continue
close,close
show,show
help,help
outbreak,outbreak
risk,risk
month,month
russia,russia
medical,medical
live,live
include,include
epidemic,epidemic
begin,begin
measure,measure
get,get
call,call
negative,negative
set,set
news,news
york,york
return,return
johnson,johnson
post,post
remain,remain
presidential,presidential
election,election
surpass,surpass
worker,worker
commission,commission
travel,travel
brazil,brazil
work,work
economic,economic
doctor,doctor
jinping,jinping
patient,patient
study,study
international,international
quarantine,quarantine
reach,reach
overseas,overseas
business,business
expect,expect
next,next
around,around
large,large
despite,despite
start,start
import,import
chief,chief
director,director
pass,pass
cause,cause
bring,bring
end,end
african,african
italy,italy
prime,prime
holiday,holiday
look,look
support,support
many,many
treatment,treatment
long,long
xinhua,xinhua
good,good
school,school
self,self
hold,hold
press,press
statement,statement
develop,develop
use,use
south,south
far,far
join,join
reopen,reopen
foreign,foreign
contract,contract
three,three
life,life
six,six
lady,lady
infect,infect
clinical,clinical
region,region
force,force
india,india
still,still
wife,wife
governor,governor
walter,walter
also,also
impact,impact
joe,joe
candidate,candidate
response,response
province,province
seven,seven
company,company
headline,headline
challenge,challenge
increase,increase
prevention,prevention
add,add
tally,tally
need,need
contact,contact
mask,mask
east,east
potential,potential
hope,hope
receive,receive
member,member
spike,spike
leader,leader
secretary,secretary
reed,reed
mark,mark
continent,continent
urge,urge
germany,germany
nearly,nearly
open,open
four,four
warn,warn
track,track
detect,detect
big,big
diagnosis,diagnosis
billion,billion
novel,novel
die,die
vice,vice
symptom,symptom
tourism,tourism
become,become
student,student
order,order
data,data
release,release
cancel,cancel
campaign,campaign
human,human
confirmed,confirmed
level,level
least,least
part,part
asymptomatic,asymptomatic
anti,anti
plan,plan
battle,battle
contain,contain
transmit,transmit
another,another
transmission,transmission
beijing,beijing
offer,offer
approve,approve
stay,stay
among,among
raise,raise
ban,ban
non,non
dos,dos
cite,cite
hong,hong
protection,protection
back,back
come,come
crisis,crisis
complete,complete
tell,tell
try,try
conference,conference
claim,claim
side,side
five,five
relate,relate
event,event
free,free
well,well
provide,provide
train,train
hard,hard
issue,issue
deputy,deputy
figure,figure
way,way
senior,senior
team,team
researcher,researcher
experience,experience
france,france
early,early
curfew,curfew
leave,leave
employee,employee
effort,effort
old,old
home,home
ahead,ahead
strict,strict
resident,resident
handling,handling
affect,affect
lead,lead
debate,debate
democratic,democratic
recent,recent
video,video
kill,kill
give,give
locally,locally
capital,capital
happen,happen
festival,festival
industry,industry
mike,mike
military,military
meet,meet
dog,dog
restaurant,restaurant
concern,concern
market,market
child,child
bank,bank
push,push
base,base
extend,extend
grow,grow
season,season
allow,allow
less,less
file,file
security,security
rate,rate
almost,almost
stand,stand
nominee,nominee
approval,approval
agree,agree
person,person
tourist,tourist
thousand,thousand
recover,recover
rule,rule
penny,penny
democrat,democrat
much,much
condition,condition
british,british
seek,seek
court,court
period,period
wish,wish
dollar,dollar
central,central
woman,woman
boost,boost
russian,russian
supply,supply
mid,mid
rapid,rapid
resurgence,resurgence
keep,keep
group,group
fund,fund
emergency,emergency
place,place
essential,essential
effect,effect
head,head
eight,eight
fourth,fourth
quarter,quarter
drive,drive
french,french
office,office
half,half
mayor,mayor
relief,relief
move,move
sample,sample
result,result
america,america
source,source
sar,sar
system,system
volunteer,volunteer
donation,donation
night,night
twitter,twitter
welcome,welcome
great,great
effective,effective
hundred,hundred
percent,percent
administration,administration
population,population
outside,outside
trade,trade
sector,sector
bill,bill
supreme,supreme
staff,staff
save,save
send,send
speedy,speedy
decision,decision
golden,golden
role,role
possible,possible
reveal,reveal
admit,admit
institute,institute
task,task
milestone,milestone
enter,enter
near,near
race,race
square,square
package,package
area,area
mean,mean
photo,photo
cluster,cluster
especially,especially
community,community
port,port
football,football
severe,severe
growth,growth
june,june
even,even
handle,handle
